id originale,Cote,Auteur.trice,Titre,Année originale,Année,Genre textuel,Domaine,Page,cotexte gauche,pivot (cible),cotexte droit,-5,-4,-3,-2,-1,TEMPS (forme),pour/à (forme),SOI (forme),1,2,3,tri,tri_notes,TEMPS (u.l.),pour/à (u.l.),SOI (u.l.),TEMPS_nombre,SOI_personne,SOI_nombre,verbe combiné (u.l.),verbe_mode,négation
302,R492,SAND George,Correspondance : janvier-juin 1845,1845,1845,Ecrits non fictionnels,non renseigné,782,envoie donc mon numéro corrigé en vous priant de me le rendre quand vous n' en aurez plus besoin . à vous G. S. Je voudrais vous voir ce soir un instant si vous n' avez pas de,temps pour vous,"parler de cela . Monsieur Louis Blanc rue Taitbout , 2 3077 à PAULINE VIARDOT [ Paris , 20 janvier 1845 . ] Ma fille chérie , je savais déjà par Monsieur Joanne votre",vous,n',avez,pas,de,temps,pour,vous,parler,de,cela,,,,,,,,,,,
303,R704,BALZAC Honoré de,Honorine,1845,1845,Ecrits fictionnels,non renseigné,595,"là ce qui le tue . Je suis resté sur le bateau à vapeur qui l' emmenait à Naples , jusqu' au-delà de la rade , une barque devait me ramener . Nous restâmes pendant quelque",temps à nous,"faire des adieux qui , je le crains , sont éternels . Dieu sait combien l'on aime le confident de notre amour , quand celle qui l' inspirait n' est plus ! "" Cet homme possède , me",.,Nous,restâmes,pendant,quelque,temps,à,nous,faire,des,adieux,,,,,,,,,,,
304,M985,BALZAC Honoré de,Correspondance : t. 4 : 1840-avril 1845,1845,1845,Ecrits non fictionnels,non renseigné,416,"à causer avec vous de l' affaire pour laquelle j' ai eu l' honneur et le plaisir de vous aller voir . Depuis que nous répétons toute la journée à l' odéon , je n' ai plus une",minute à moi,"le matin , et le soir je suis si fatigué que , malgré ma santé qui me permet tout excès de travail , je suis obligé de me coucher très tôt . Mettez le comble à votre bonté ,",je,n',ai,plus,une,minute,à,moi,le,matin,",",oui,,minute,à,moi,sing,1,sing,avoir,ind,oui
305,M985,BALZAC Honoré de,Correspondance : t. 4 : 1840-avril 1845,1845,1845,Ecrits non fictionnels,non renseigné,488,"matin ( avenue de Paris , 23 ) . Voulez -vous vérifier l' affaire Foullon , il faut payer , je crois . Je travaille de manière à suffire à tout cela ; mais je n' ai pas une",minute à moi,". Mille amitiés et une reconnaissance constante . De Balzac . à Armand Pérémé . Passy , septembre ( ? ) 1842 . Mon cher Armand , remettez au porteur le plan d' Issoudun .",je,n',ai,pas,une,minute,à,moi,.,Mille,amitiés,oui,,minute,à,moi,sing,1,sing,avoir,ind,oui
306,R705,BALZAC Honoré de,Béatrix,1845,1845,Ecrits fictionnels,non renseigné,711,"; mais il n' acheva pas , elle lui coupa la parole . - Vous avez raison , il faut être honnête fille avant tout . Il était trop tard hier , mais il paraît que nous aurons bien du",temps à nous,"aujourd'hui , dit -elle d' un ton à la fois plaisant et amer . Pour acquitter ma promesse , je vais me mettre de manière à plonger sur le chemin qui mène à la falaise .   »",que,nous,aurons,bien,du,temps,à,nous,aujourd'hui,",",dit,,,,,,,,,,,
307,R705,BALZAC Honoré de,Béatrix,1845,1845,Ecrits fictionnels,non renseigné,874,"me rend plus cher encore l' héritier présomptif des du Guénic , et j' ai voulu te faire une surprise , absolument comme un bourgeois de la rue Saint-Denis . On finit en ce",moment pour toi,"une toilette à laquelle ont travaillé des artistes , ma mère et ma tante Zéphirine y ont contribué ...   » Sabine enveloppa Calyste de ses bras , le tint serré sur son",.,On,finit,en,ce,moment,pour,toi,une,toilette,à,,,,,,,,,,,
308,R711,BALZAC Honoré de,Autre étude de femme,1845,1845,Ecrits fictionnels,non renseigné,690,"économie ; qui sait même s' ils ne quêtent pas une fortune ? Dès lors la femme du fils aîné , qui n' est duchesse que de nom , n' a ni sa voiture , ni ses gens , ni sa loge , ni son",temps à elle,"; elle n' a ni son appartement dans son hôtel , ni sa fortune , ni ses babioles ; elle est enterrée dans le mariage comme une femme de la rue Saint-Denis l' est dans son commerce",sa,loge,",",ni,son,temps,à,elle,;,elle,n',,,,,,,,,,,
309,S142,BALZAC Honoré de,Le Curé de village,1845,1845,Ecrits fictionnels,non renseigné,686,"et à s' instruire le temps que les autres ouvriers donnent à la débauche ou au cabaret . Les perquisitions les plus minutieuses de la justice de province , qui a beaucoup de",temps à elle,", n' apportèrent aucune lumière sur les secrets de cette existence . Soigneusement questionnée , l' hôtesse de la maigre maison garnie où demeurait Jean - François",",",qui,a,beaucoup,de,temps,à,elle,",",n',apportèrent,non,,temps,à,elle,sing,3,sing,,,
310,S139,BALZAC Honoré de,Les Chouans ou la Bretagne en 1799,1845,1845,Ecrits fictionnels,non renseigné,1126,"... - Vous voulez dire colonel ... - Non , monsieur le marquis , Charrette m' a nommé colonel . Le grade dont je parle ne pouvant pas m' être contesté , je ne plaide point en ce",moment pour moi,", mais pour tous mes intrépides frères d' armes dont les services ont besoin d' être constatés . Votre signature et vos promesses leur suffiront aujourd'hui , et , dit",ne,plaide,point,en,ce,moment,pour,moi,",",mais,pour,,,,,,,,,,,
311,R838,SAND George,Le Péché de Monsieur Antoine,1845,1845,Ecrits fictionnels,non renseigné,65,"plus réservées encore que la veille , et , lorsqu' il l' interrogea sur les ravages de la tempête , il se contenta de répondre : - Je vous conseille de ne pas perdre de",temps pour vous,"en aller à Gargilesse , si vous voulez encore trouver des ponts pour passer l' eau , car , avant qu' il soit deux heures , il y aura par là une dribe de tous les diables . - Qu'",de,ne,pas,perdre,de,temps,pour,vous,en,aller,à,,,,,,,,,,,
312,M633,FLAUBERT Gustave,Correspondance (1840-1845),1845,1845,Ecrits non fictionnels,non renseigné,9,"agréable ? Voilà cinq jours que je n' ai point vu le vénérable Froger , il doit néanmoins venir me voir demain matin , mais il est très occupé et paraît ne pas avoir un",moment à lui,". Je n' ai pas encore vu l' abbé , quoique j' aie été plusieurs fois chez M Cloquet . Tu feras bien de dire à papa d' écrire à celui -ci dans quelque temps , il me paraît assez",paraît,ne,pas,avoir,un,moment,à,lui,.,Je,n',,,,,,,,,,,
313,S406,SUE Eugène,Le Juif errant,1845,1845,Ecrits fictionnels,non renseigné,52,"fois il nous a beaucoup parlé , et au nom de notre mère il nous a donné des conseils si touchants , si généreux , que , le lendemain , Rose et moi nous avons passé tout notre",temps à nous,"rappeler les moindres paroles de notre ange gardien ... ainsi que sa figure ... et son regard ... — Ceci me fait souvenir , mesdemoiselles , qu' hier vous avez chuchoté",nous,avons,passé,tout,notre,temps,à,nous,rappeler,les,moindres,,,,,,,,,,,
314,S406,SUE Eugène,Le Juif errant,1845,1845,Ecrits fictionnels,non renseigné,390,". — Une recommandation très importante , ma chère mère , car je suis très pressée ; on m' attend chez Son Éminence , et je n' ai malheureusement que quelques",minutes à vous,"donner : il s' agit encore de ces deux orphelines au sujet desquelles nous avons longuement causé hier . — Elles continuent à être séparées , selon votre désir , et",n',ai,malheureusement,que,quelques,minutes,à,vous,donner,:,il,,,,,,,,,,,
315,S406,SUE Eugène,Le Juif errant,1845,1845,Ecrits fictionnels,non renseigné,879,"mourir ... Soyez béni , mon Dieu ! il ne sait rien ... — Non ; ainsi , plus de tristes pensées , chère enfant ; pensez à ce digne frère , pour vous dire qu' il est arrivé à",temps pour nous,"épargner des regrets éternels ... et à vous ... une grande faute ... Oh ! je ne vous parle pas des préjugés du monde , à propos du droit que possède une créature de",qu',il,est,arrivé,à,temps,pour,nous,épargner,des,regrets,non,,temps,pour,nous,sing,1,plur,,,
316,S406,SUE Eugène,Le Juif errant,1845,1845,Ecrits fictionnels,non renseigné,996,"sont -elles désintéressées de la question de l' héritage , pour nous glorifier sitôt ? — Non , sans doute . — Eh bien , donc ! vous le voyez , madame ne perdons point de",temps à nous,"congratuler du passé ; songeons à l' avenir ... Le grand jour approche , le 1er juin n' est pas loin ... fasse le ciel que nous ne voyons pas les quatre membres de la famille qui",madame,ne,perdons,point,de,temps,à,nous,congratuler,du,passé,,,,,,,,,,,
317,S154,BALZAC Honoré de,Un drame au bord de la mer,1846,1846,Ecrits fictionnels,non renseigné,1176,"pas porter le vin . Puis il a fait un voyage de dix jours , et est revenu se mettre où vous l' avez vu , et , depuis qu' il y est , il n' a pas dit une parole .   » Le pêcheur ne mit qu' un",moment à nous,"raconter cette histoire et nous la dit plus simplement encore que je ne l' écris . Les gens du peuple font peu de réflexions en contant , ils accusent le fait qui les a",pêcheur,ne,mit,qu',un,moment,à,nous,raconter,cette,histoire,,,,,,,,,,,
318,S148,BALZAC Honoré de,La Recherche de l'absolu,1846,1846,Ecrits fictionnels,non renseigné,734,"Mme Claës . Pauvres chères filles , ajouta -t-elle , en pressant sur son coeur Marguerite et Félicie par un mouvement désespéré , je voudrais pouvoir vivre assez de",temps pour vous,"voir heureuses et mariées . Martha , reprit -elle , dites à Lemulquinier d' aller chez M. de Solis , pour le prier de ma part de passer ici .   » Ce coup de foudre se répercuta",voudrais,pouvoir,vivre,assez,de,temps,pour,vous,voir,heureuses,et,,,,,,,,,,,
319,R493,SAND George,Correspondance : 1846,1846,1846,Ecrits non fictionnels,non renseigné,303,"payé au printemps , me dispensera pour un certain temps de ces cruelles souffrances , auxquelles Dieu merci , je ne suis pas régulièrement soumise . Je demande le beau",temps pour vous,"surtout , afin que vous soyez délivrée de tout rhume , et que vous puissiez vous retrouver dans les délices de Chenonceaux . Hélas ! pourrai -je vous y baiser les mains",.,Je,demande,le,beau,temps,pour,vous,surtout,",",afin,non,,temps,pour,vous,sing,2,?,,,
320,R493,SAND George,Correspondance : 1846,1846,1846,Ecrits non fictionnels,non renseigné,462,", mettrait un peu de retard dans son départ , ce qui arrive souvent . Alors nous serions avec le domestique occupés à l' emballer et tu te trouverais peut-être encore à",temps pour lui,donner une poignée de main . Il regrette beaucoup de n' avoir pu t' attendre . Notre domestique ira ensuite chercher tes effets à l' hôtel de la Poste . Voilà . J' espère,te,trouverais,peut-être,encore,à,temps,pour,lui,donner,une,poignée,,,,,,,,,,,
321,R493,SAND George,Correspondance : 1846,1846,1846,Ecrits non fictionnels,non renseigné,550,"le pied de grue . à vous de coeur . George . 3546 à THéOPHILE SIMONNET [ Nohant , avant le 7 décembre 1846 . ] Mon cher Simonnet , j' ai été si occupée hier que je n' ai pas eu 5",minutes à moi,". Je vous envoie le billet , voyez s' il n' y manque rien . Tout à vous de coeur et à Léontine . G. Sand . 3547 à FERDINAND LEROY Nohant , 8 Xbre 1846 . Monsieur , J' ai à vous",n',ai,pas,eu,5,minutes,à,moi,.,Je,vous,,,,,,,,,,,
322,S120,BALZAC Honoré de,Les Comédiens sans le savoir,1846,1846,Ecrits fictionnels,non renseigné,1196,"triomphent pendant six mois , deviendra certainement immortel . - Enne vôture ! s' écria Gazonal . - Mais , ami Gazonal , il n' y a que les millionnaires qui ont assez de",temps à eux,"pour aller à pied , à Paris . - à la Chambre , cria Léon au cocher . - Laquelle ? monsieur . - Des députés , répondit Léon après avoir échangé un sourire avec Bixiou . -",millionnaires,qui,ont,assez,de,temps,à,eux,pour,aller,à,oui,,temps,à,eux,sing,3,plur,avoir,ind,non
323,S145,BALZAC Honoré de,Le Chef-d'œuvre inconnu,1847,1847,Ecrits fictionnels,non renseigné,431,"peur qu' un souffle ne me réveille cette femme et qu' elle ne disparaisse .   » Puis il se leva tout à coup , comme pour partir . «  Oh ! oh ! répondit Porbus , j' arrive à",temps pour vous,"éviter la dépense et les fatigues du voyage . - Comment , demanda Frenhofer étonné . - Le jeune Poussin est aimé par une femme dont l' incomparable beauté se trouve",Porbus,",",j',arrive,à,temps,pour,vous,éviter,la,dépense,non,,temps,pour,vous,sing,2,?,,,
324,M764,BALZAC Honoré de,Splendeurs et misères des courtisanes,1847,1847,Ecrits fictionnels,non renseigné,665,"- dit l' aubergiste en s' adressant à ses deux voyageurs , voici le livre , je vous prierai de vous inscrire . Nous avons un brigadier qui n' a rien à faire et qui passe son",temps à nous,"tracasser ... - Diable , diable , je croyais les Séchard très riches , dit Corentin pendant que Derville écrivait ses noms et sa qualité d' avoué près le tribunal de",faire,et,qui,passe,son,temps,à,nous,tracasser,...,-,non,,temps,à,nous,sing,1,plur,,,
325,M764,BALZAC Honoré de,Splendeurs et misères des courtisanes,1847,1847,Ecrits fictionnels,non renseigné,867,". «  Je le tiens !  » se dit Jacques Collin . «  Mais ne flânons pas , réfléchis ?... reprit -il en parlant à l' oreille de La Pouraille . Mon vieux , nous n' avons pas dix",minutes à nous,"... Le procureur général va me demander et je vais avoir une conférence avec lui . Je le tiens , cet homme , je puis tordre le cou à la Cigogne ! je suis certain de sauver",nous,n',avons,pas,dix,minutes,à,nous,...,Le,procureur,,,,,,,,,,,
326,S393,CHATEAUBRIAND François-René de,Lettres à Mme Récamier : 1820-1847,1847,1847,Ecrits non fictionnels,non renseigné,172,"24 . Je voudrais vous écrire plus souvent , plus exactement , plus longuement , mais les derniers jours de l' année ont été si remplis d' affaires que je n' ai pas eu un seul",moment à moi,", et ce qui a achevé de m' accabler , Mme de Chateaubriand a été et est encore assez malade . Ainsi vous voyez que nous avons l' un et l' autre fini l' année tristement . En",ai,pas,eu,un,seul,moment,à,moi,",",et,ce,,,,,,,,,,,
327,S393,CHATEAUBRIAND François-René de,Lettres à Mme Récamier : 1820-1847,1847,1847,Ecrits non fictionnels,non renseigné,248,". C' est vous et la retraite la plus profonde qu' il me faut désormais . Je ne m' occupe que d' une chose c' est de ma santé , car j' ai une envie extrême de vivre encore quelque",temps pour vous,". Le lait d' ânesse et la promenade me font merveilles , et , au printemps qui approche , j' espère que vous me trouverez tout ressuscité . Les soirées seules dérangent",extrême,de,vivre,encore,quelque,temps,pour,vous,.,Le,lait,,,,,,,,,,,
328,S393,CHATEAUBRIAND François-René de,Lettres à Mme Récamier : 1820-1847,1847,1847,Ecrits non fictionnels,non renseigné,295,. On ne refuserait pas un congé à un homme arrivant un rameau d' olivier à la main . Je ne puis vous écrire ce matin que ces deux mots . Sur vingt-quatre heures je n' ai pas cinq,minutes à moi,"et pourtant vous êtes toujours l' occupation de ma journée .  » 186. - 186. - «  Rome , ce 14 mars 1829 . «  Je suis plongé ici dans des affaires qui augmentent tous les",je,n',ai,pas,cinq,minutes,à,moi,et,pourtant,vous,,,,,,,,,,,
329,L958,GUÉRIN Eugénie de,Lettres (1831-1847),1847,1847,Ecrits non fictionnels,non renseigné,196,"tant de peine , je pense à vous . Maurice m' a fait voir un hôtel que vous avez habité et qui m' a fait dire : plût à Dieu qu' elle y fût encore ! Je ne serais pas je ne sais quel",temps à vous,"voir . Nous avons causé de cela et arrangé comme il suit : dès le baptême et la noce faits , je partirai pour les Coques , où je demeurerai avec vous tant que vous me voudrez .",pas,je,ne,sais,quel,temps,à,vous,voir,.,Nous,,,,,,,,,,,
330,L958,GUÉRIN Eugénie de,Lettres (1831-1847),1847,1847,Ecrits non fictionnels,non renseigné,332,", je vous aime bien toutes deux . Vos nouvelles sont bien ce qui me fait le plus de plaisir ou de peine , suivant le contenu . Je suis assez contente cette fois . J' espère tout du",temps pour vous,"et pour moi , non pas pour ma santé qui ne peut devenir meilleure , pour d' autres choses qui ne se portent pas bien , pour ma conscience qui n' a pas de guide , qui depuis le",.,J',espère,tout,du,temps,pour,vous,et,pour,moi,,,,,,,,,,,
331,K822,CHATEAUBRIAND François-René de,Mémoires d'outre-tombe : t. 4,1848,1848,non renseigné,non renseigné,733,"nous quitter , etc. "" appendice x la lettre du 12 novembre 1832 à la duchesse de Berry : "" madame , "" vous me trouverez bien téméraire de venir vous importuner dans un pareil",moment pour vous,"supplier de m' accorder une grâce , dernière ambition de ma vie : je désirerais ardemment être choisi par vous au nombre de vos défenseurs . Je n' ai aucun titre",vous,importuner,dans,un,pareil,moment,pour,vous,supplier,de,m',non,,moment,pour,vous,sing,2,?,,,
332,M975,HUGO Victor,Correspondance : t. 1 : 1814-1848,1848,1848,Ecrits non fictionnels,non renseigné,317,"à Nantes un journal quotidien de mes faits et gestes . Cependant , voici venir le moment où nous n' aurons plus besoin d' un froid papier et d' un long intervalle de",temps pour nous,"communiquer nos pensées et nous assurer de l' affection mutuelle qui nous lie . Hâte , je t' en prie , mon cher ami , ce moment désiré bien ardemment par tes cousins de",d',un,long,intervalle,de,temps,pour,nous,communiquer,nos,pensées,,,,,,,,,,,
333,M975,HUGO Victor,Correspondance : t. 1 : 1814-1848,1848,1848,Ecrits non fictionnels,non renseigné,396,"comte Alfred de Vigny , capitaine au 55e régiment d' infanterie , en garnison à Pau . 29 décembre 1824 . Avant que cette année finisse , bon Alfred , je veux lui dérober un",moment pour vous,", et de force ou de gré je vous écrirai enfin aujourd'hui . J' ignore si ma lettre sera pour vous ce que les vôtres sont pour moi , mais j' y puise du courage , de l'",je,veux,lui,dérober,un,moment,pour,vous,",",et,de,,,,,,,,,,,
334,M975,HUGO Victor,Correspondance : t. 1 : 1814-1848,1848,1848,Ecrits non fictionnels,non renseigné,617,"où je suis , c' est un grand encouragement à porter la vie que la contemplation d' une âme de vieillard , belle , forte et sereine comme la vôtre . Il est doux et utile en même",temps à nous,", hommes plus jeunes , que la providence afflige et éprouve , d' arrêter notre pensée sur votre tête couverte de cheveux blancs , sur votre esprit plein de toutes les",doux,et,utile,en,même,temps,à,nous,",",hommes,plus,,,,,,,,,,,
335,R495,SAND George,Correspondance : 1848,1848,1848,Ecrits non fictionnels,non renseigné,270,"par-dessus le marché des beaux yeux de la cassette . Tant il y a qu' elle s' amuse et que j' en suis bien aise . Dépêche -toi donc de lui envoyer tous ses chiffons , car c' est le",moment pour elle,"d' en faire usage . Il faut que tu te décides à pousser une visite à la Rozières , si tu ne retrouves pas le linge et l' argenterie . Pour l' argenterie je ne sais pas s' il en",",",car,c',est,le,moment,pour,elle,d',en,faire,,,,,,,,,,,
336,R495,SAND George,Correspondance : 1848,1848,1848,Ecrits non fictionnels,non renseigné,362,"Sand Maire de Nohant Vic La Châtre Indre . 3877 à THéOPHILE THORé [ Paris , ] jeudi [ 23 mars 1848 . ] Je n' ai pas eu littéralement cinq minutes , deux minutes , jusqu' à ce",moment pour vous,"répondre . Je n' ai même pas encore vu Louis et Charles . Mon ardeur de travailler pour la République a trouvé tant d' aliments divers , que je n' ai même pu commencer",minutes,",",jusqu',à,ce,moment,pour,vous,répondre,.,Je,,,,,,,,,,,
337,R495,SAND George,Correspondance : 1848,1848,1848,Ecrits non fictionnels,non renseigné,425,"sur la rivière . J' ai été tantôt pour vous voir et je n' ai trouvé ni vous ni Pauline . Elle est bien mauvaise de ne pas venir me voir , cette petite fille ! Je n' ai pas un",moment à moi,"et j' en enrage . Je ne peux guère quitter mes repas de Pinson , parce que c' est l' heure de mes rendez-vous , et que quand j' y manque , je retarde d' un jour les mille petites",Je,n',ai,pas,un,moment,à,moi,et,j',en,,,,,,,,,,,
338,R495,SAND George,Correspondance : 1848,1848,1848,Ecrits non fictionnels,non renseigné,568,"et se retranche quelque chose , à commencer par l' étude des arts d' agrément . Il ne gagne plus que 1 700 f . lui qui en gagnait de 3 à 4 000 . Ce que je peux faire en ce",moment pour eux,"est bien peu de chose , vous savez pourquoi je suis dans une gêne horrible . J' ai toujours donné à mesure , tout ce que j' ai gagné dans ma vie , et voici le travail qui devait",je,peux,faire,en,ce,moment,pour,eux,est,bien,peu,,,,,,,,,,,
339,R495,SAND George,Correspondance : 1848,1848,1848,Ecrits non fictionnels,non renseigné,757,". Ce n' est pas que je puisse mépriser 500 f . dans ce moment -ci , mais je vous présumais obsédé . Votre fréquent et long silence me montrait bien que vous n' aviez pas un",moment à vous,", et je ne voulais pas vous accabler de moi . Ensuite pour justifier le Pôtu , il n' est pas resté un mois , mais 15 jours à Paris et il a eu tant à faire , tant à courir pour moi ,",vous,n',aviez,pas,un,moment,à,vous,",",et,je,oui,,moment,à,vous,sing,2,?,avoir,ind,oui
340,M746,BALZAC Honoré de,La Cousine Bette,1848,1848,Ecrits fictionnels,non renseigné,421,"un couteau le crochet de la porte battante qui faisait toute la sécurité d' Adam et d' ève . Elle ouvrit brusquement la porte , car les locataires de ces éden ont tous peu de",temps à eux,", et découvrit un de ces charmants tableaux de genre , si souvent exposés au Salon , d' après Gavarni . «  Ici , madame !  » dit la fille . Et Cydalise entra suivie du baron",éden,ont,tous,peu,de,temps,à,eux,",",et,découvrit,non,,temps,à,eux,sing,3,plur,,,
341,L834,DUMAS fils Alexandre,La Dame aux camélias,1848,1848,Ecrits fictionnels,non renseigné,193,"toute la journée , sans laisser même le soleil pénétrer dans notre chambre . Les rideaux étaient hermétiquement fermés , et le monde extérieur s' arrêtait un",moment pour nous,". Nanine seule avait le droit d' ouvrir notre porte , mais seulement pour apporter nos repas ; encore les prenions -nous sans nous lever , et en les interrompant sans cesse de",monde,extérieur,s',arrêtait,un,moment,pour,nous,.,Nanine,seule,,,,,,,,,,,
342,R496,SAND George,Correspondance : 1849,1849,1849,Ecrits non fictionnels,non renseigné,293,"à M. ... [ Nohant , 20 otobre 1849 . ] Je vous demande pardon , Monsieur , si je n' ai pas répondu à votre première lettre qui m' avait été remise en temps opportun . Mais le",temps à moi,", m' a manqué , et me manque bien souvent pour faire face à beaucoup de devoirs . Je ne patrone en aucune façon le journal que l'on désire fonder . La pensée qui a dominé ce",temps,opportun,.,Mais,le,temps,à,moi,",",m',a,oui,,temps,à,moi,sing,1,sing,Ø,n/a,non
343,M659,LAMARTINE Alphonse de,Raphaël,1849,1849,Ecrits fictionnels,non renseigné,264,de la solitude et du travail du jour ; j' abrégeais ainsi par le sommeil les longues heures nocturnes qui me séparaient encore du seul moment où commençait vraiment le,temps pour moi,": heures que les jeunes gens de mon âge dépensent , comme je l' avais fait moi -même avant ma transformation , dans les théâtres , dans les lieux publics et dans les",moment,où,commençait,vraiment,le,temps,pour,moi,:,heures,que,,,,,,,,,,,
344,R432,SAND George,La Petite Fadette,1849,1849,Ecrits fictionnels,non renseigné,263,", et vous vous lèverez , Sylvain , car vous n' avez plus la fièvre , et il ne faut pas rester à vous dorloter , tandis que votre mère se fatigue à vous servir et perd son",temps à vous,"tenir compagnie . Vous mangerez ensuite ce que votre mère vous présentera de ma part . C' est de la viande , et je sais que vous vous en dites dégoûté , et que vous ne vivez",vous,servir,et,perd,son,temps,à,vous,tenir,compagnie,.,,,,,,,,,,,
345,R432,SAND George,La Petite Fadette,1849,1849,Ecrits fictionnels,non renseigné,271,"jolie lettre pleine d' amitiés pour eux , pour Landry , pour Fanchon , et enfin pour tous les jeunes et vieux de la famille ; le voilà quasiment général , et il serait bien",temps pour lui,"de se reposer ! - Le grade qu' il a est assez joli sans l' augmenter , dit le père Barbeau , et cela ne fait pas moins un grand honneur à une famille de paysans ! - Cette Fadette",",",et,il,serait,bien,temps,pour,lui,de,se,reposer,,,,,,,,,,,
346,M657,LAMARTINE Alphonse de,Les Confidences,1849,1849,non renseigné,non renseigné,274,", ou tu ne partiras jamais . Ta mère en mourra . Tu sais combien ta famille la rend responsable de toutes tes fautes . Elle s' est tant sacrifiée pour toi ; sacrifie -toi un",moment pour elle,. Je te jure que je reviendrai avec toi passer l' hiver et toute une autre longue année ici . Mais il faut faire acte de présence dans ta famille et d' obéissance aux ordres,toi,;,sacrifie,-toi,un,moment,pour,elle,.,Je,te,,,,,,,,,,,
347,R497,SAND George,Correspondance : 1850,1850,1850,Ecrits non fictionnels,non renseigné,644,"au moins , moins , moins , 528 000 - Quant aux Girondins , j' ai beau compter et recompter , je ne trouve jamais que 470 000 lettres au plus , plus , plus , en moyenne . Voici le",moment pour moi,"de savoir si j' en suis au 8me ou au 6me volume de mon histoire , car de si grandes différences amèneraient cette incertitude pour moi . Je ne puis passer outre sans savoir si",en,moyenne,.,Voici,le,moment,pour,moi,de,savoir,si,non,,moment,pour,moi,sing,1,sing,,,
348,R497,SAND George,Correspondance : 1850,1850,1850,Ecrits non fictionnels,non renseigné,851,"placer d' amis . Ce n' est pas que j' y tienne pour moi , mais autant de personnes exclues , autant d' ennemis ou de fâchés . Je crois aussi qu' il ne faut pas attendre au dernier",moment pour lui,remettre la liste des personnes que je dois absolument contenter . J' en fais donc deux listes que je t' envoie et que tu lui remettras quand il te dira que le moment est venu .,faut,pas,attendre,au,dernier,moment,pour,lui,remettre,la,liste,,,,,,,,,,,
349,R497,SAND George,Correspondance : 1850,1850,1850,Ecrits non fictionnels,non renseigné,889,". Tu me diras de quoi tu as envie . Tourne 4718 à RENé VALLET DE VILLENEUVE [ Nohant , 29 décembre 1850 . ] Cher cousin , je viens vous embrasser au nouvel an . Je n' ai qu' un",moment pour vous,écrire avant l' heure du courrier . Mais je ne veux pas que le jour consacré passe sans vous avoir apporté mes tendres voeux que je vous charge aussi de mettre aux pieds de,Je,n',ai,qu',un,moment,pour,vous,écrire,avant,l',non,,moment,pour,vous,sing,2,?,,,
350,S195,BALZAC Honoré de,Petites misères de la vie conjugale,1850,1850,Ecrits fictionnels,non renseigné,36,"se sauve en vous entendant ou vous apercevant . Votre domestique met le couvert sans se presser , il regarde par la croisée , il flâne , il va et vient en homme qui sait avoir son",temps à lui,". Vous demandez où est votre femme , vous la croyez sur pied . «  Madame est encore au lit  » , dit la femme de chambre . Vous trouvez votre femme languissante , paresseuse ,",homme,qui,sait,avoir,son,temps,à,lui,.,Vous,demandez,,,,,,,,,,,
351,S195,BALZAC Honoré de,Petites misères de la vie conjugale,1850,1850,Ecrits fictionnels,non renseigné,43,"goût est comme l' esprit , une chose dont nous pouvons être fiers ... - Vous trouvez ? est -ce sérieusement , Adolphe ?   » Votre femme coquette avec vous . Elle choisit ce",moment pour vous,"arracher votre prétendue pensée sur telle ou telle de ses amies , et pour vous glisser le prix des belles choses que vous louez . Rien n' est trop cher pour vous plaire . Elle",vous,.,Elle,choisit,ce,moment,pour,vous,arracher,votre,prétendue,,,,,,,,,,,
352,S141,BALZAC Honoré de,Les Paysans,1850,1850,Ecrits fictionnels,non renseigné,98,"donne ... - Vous avez raison , répondit Fourchon . Comme dit le père Niseron , qu' est resté républicain après tout le monde , le Peuple a la vie dure , il ne meurt pas , il a le",temps pour lui,"!...  » Fourchon tomba dans une sorte de rêverie , et Tonsard en profita pour reprendre son collet ; mais en le reprenant , il coupa d' un coup de ciseaux le pantalon pendant",pas,",",il,a,le,temps,pour,lui,!...,»,Fourchon,oui,,temps,pour,lui,sing,3,sing,avoir,ind,non
353,S141,BALZAC Honoré de,Les Paysans,1850,1850,Ecrits fictionnels,non renseigné,296,"des cent sous à tout moment .   » Au début de ce flux de paroles criées plutôt que dites , Socquard prit Marie par la taille et la jeta dehors , malgré ses cris . Il était",temps pour elle,", Bonnébault sortait de nouveau du billard , l' oeil en feu . «  Ça ne finira pas comme ça ! s' écria Marie Tonsard . - Tire -nous ta révérence , dit Bonnébault que",ses,cris,.,Il,était,temps,pour,elle,",",Bonnébault,sortait,,,,,,,,,,,
354,R446,SAND George,François le Champi,1850,1850,Ecrits fictionnels,non renseigné,265,"page , dont on ne se souvenait pas trop . Et puis il y a deux manières de lire , et il serait bon de dire cela aux gens qui se croient bien instruits . Ceux qui ont beaucoup de",temps à eux,", et beaucoup de livres , en avalent tant qu' ils peuvent et se mettent tant de sortes de choses dans la tête , que le bon Dieu n' y connaît plus goutte . Ceux qui n' ont pas le temps",Ceux,qui,ont,beaucoup,de,temps,à,eux,",",et,beaucoup,,,,,,,,,,,
355,R446,SAND George,François le Champi,1850,1850,Ecrits fictionnels,non renseigné,316,", mais qui n' est pas bien jeune , c' est approchant comme ... - Comme moi ? dit la Jeannette en se forçant un peu pour rire . En ce cas , si elle devient veuve , il ne sera plus",temps pour elle,"de se remarier , pas vrai ? - ça dépend , répondit François . Si son mari ne mange pas le tout et qu' il lui reste du bien , elle ne manquera pas d' épouseurs . Il y a des gars qui",",",il,ne,sera,plus,temps,pour,elle,de,se,remarier,,,,,,,,,,,
